"dT"	"dC"	"ATP"	"dTTP"	"dCTP"	"VdT"	"VdC"	"fg"	"year"	"jrnl"	"vol"	"page"	"frstAut"	"seq"	"state"	"E"	"k"
5	0	2000	1	0	342.4	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.165891472868217
11	0	2000	1	0	565.1	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.273788759689923
21	0	2000	1	0	745.8	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.361337209302326
41	0	2000	1	0	859.9	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.416618217054264
81	0	2000	1	0	1188.9	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.576017441860465
161	0	2000	1	0	1363.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.660707364341085
1	0	2000	2	0	59.2	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0286821705426357
2	0	2000	2	0	109.8	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0531976744186047
5	0	2000	2	0	220.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.106928294573643
11	0	2000	2	0	354.3	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.171656976744186
21	0	2000	2	0	488.5	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.236676356589147
41	0	2000	2	0	626.2	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.303391472868217
81	0	2000	2	0	849.6	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.411627906976744
161	0	2000	2	0	906	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.438953488372093
1	0	2000	10	0	33.5	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0162306201550388
2	0	2000	10	0	63.4	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0307170542635659
5	0	2000	10	0	126.2	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.0611434108527132
11	0	2000	10	0	232.2	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.1125
21	0	2000	10	0	332.4	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.161046511627907
41	0	2000	10	0	489.8	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.237306201550388
81	0	2000	10	0	618.5	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.299660852713178
161	0	2000	10	0	901.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"wt"	"dimer"	0.00375	0.43687015503876
1	0	2000	0	0	114	NA	"t1"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0552325581395349
2	0	2000	0	0	171.6	NA	"t1"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0831395348837209
5	0	2000	0	0	250.9	NA	"t1"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.121560077519380
11	0	2000	0	0	414.6	NA	"t1"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.200872093023256
21	0	2000	0	0	479.3	NA	"t1"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.232218992248062
41	0	2000	0	0	564.9	NA	"t1"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.273691860465116
81	0	2000	0	0	584.3	NA	"t1"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.283091085271318
161	0	2000	0	0	666.8	NA	"t1"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.323062015503876
100	0	5	0	0	90	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0436046511627907
100	0	10	0	0	129.2	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0625968992248062
100	0	20	0	0	185.5	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.089874031007752
100	0	50	0	0	305.6	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.148062015503876
100	0	100	0	0	433.9	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.210222868217054
100	0	200	0	0	480.6	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.232848837209302
100	0	400	0	0	587.3	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.284544573643411
100	0	800	0	0	692.4	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.33546511627907
100	0	2000	0	0	799.5	NA	"t2"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.387354651162791
1	1	2000	0	0	88.3	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.042781007751938
2	1	2000	0	0	123.9	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0600290697674419
5	1	2000	0	0	220.4	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.106782945736434
11	1	2000	0	0	332.5	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.16109496124031
21	1	2000	0	0	387.8	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.187887596899225
41	1	2000	0	0	468.5	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.226986434108527
81	1	2000	0	0	558	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.270348837209302
161	1	2000	0	0	627.5	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.304021317829457
1	10	2000	0	0	57.9	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0280523255813953
2	10	2000	0	0	91.2	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0441860465116279
5	10	2000	0	0	152.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0739825581395349
11	10	2000	0	0	237.3	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.114970930232558
21	10	2000	0	0	279.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.135513565891473
41	10	2000	0	0	356.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.172819767441860
81	10	2000	0	0	470.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.228052325581395
161	10	2000	0	0	523.6	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.253682170542636
1	0	2000	0	1	69.3	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0335755813953488
2	0	2000	0	1	101.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0492732558139535
5	0	2000	0	1	150.4	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0728682170542636
11	0	2000	0	1	222.8	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.107945736434109
21	0	2000	0	1	287.9	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.139486434108527
41	0	2000	0	1	341.5	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.165455426356589
81	0	2000	0	1	468.4	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.226937984496124
161	0	2000	0	1	570.4	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.276356589147287
1	0	2000	0	10	29.1	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0140988372093023
2	0	2000	0	10	41.2	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0199612403100775
5	0	2000	0	10	53.5	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0259205426356589
11	0	2000	0	10	81.2	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0393410852713178
21	0	2000	0	10	102.3	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0495639534883721
41	0	2000	0	10	124.4	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0602713178294574
81	0	2000	0	10	137.8	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0667635658914729
161	0	2000	0	10	250.2	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.121220930232558
1	0	2000	1	0	65.4	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0316860465116279
2	0	2000	1	0	109.5	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0530523255813954
5	0	2000	1	0	192.8	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0934108527131783
11	0	2000	1	0	308	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.149224806201550
21	0	2000	1	0	375.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.182025193798450
41	0	2000	1	0	411.8	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.199515503875969
81	0	2000	1	0	567	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.274709302325581
161	0	2000	1	0	601.6	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.291472868217054
1	0	2000	10	0	25	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0121124031007752
2	0	2000	10	0	44.6	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0216085271317829
5	0	2000	10	0	88	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.0426356589147287
11	0	2000	10	0	150.8	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.073062015503876
21	0	2000	10	0	223.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.108381782945736
41	0	2000	10	0	279.7	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.135513565891473
81	0	2000	10	0	338.3	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.16390503875969
161	0	2000	10	0	455.3	NA	"t3"	2003	"JBC"	278	6963	"Wang"	"H121N"	"dimer"	0.00375	0.220591085271318
